City Name,Country,Latitude,Longitude,Date,Temp,Humidity,Cloud Coverage,Wind Speed
Avarua,CK,-21.21,-159.78,1570555598,69.8,60,100,9.17
Kropotkin,RU,45.43,40.58,1570555757,50.27,86,100,15.61
Sekoma,BW,-24.51,23.93,1570555758,74.57,7,0,7.78
Sitka,US,37.17,-99.65,1570555759,72.0,39,0,24.0
Hami,CN,42.84,93.51,1570555759,56.21,25,55,1.61
Bemidji,US,47.48,-94.89,1570555760,66.0,48,1,19.46
Cabo San Lucas,MX,22.89,-109.91,1570555528,97.0,41,5,8.05
Sur,OM,22.57,59.53,1570555512,79.43,69,0,5.14
Lasa,CY,34.92,32.53,1570555761,77.0,60,20,8.05
Batagay,RU,67.65,134.64,1570555762,10.49,84,34,2.12
Ust-Maya,RU,60.42,134.54,1570555762,29.57,93,98,8.75
Norman Wells,CA,65.28,-126.83,1570555763,30.2,80,75,3.3
Danane,CI,7.26,-8.15,1570555763,74.03,88,81,5.54
Candolim,IN,15.52,73.76,1570555764,78.8,83,75,2.24
Terney,RU,45.05,136.61,1570555765,45.41,84,99,15.35
Ballangen,NO,68.34,16.83,1570555765,39.99,60,0,26.4
Mackenzie,CA,55.34,-123.09,1570555766,30.2,46,90,6.93
Yar-Sale,RU,66.83,70.83,1570555766,34.25,78,99,14.05
Okhotsk,RU,59.36,143.24,1570555767,28.85,97,100,9.85
Shahrud,IR,36.42,54.97,1570555767,50.09,35,14,2.21
Lebu,ET,8.96,38.73,1570555768,52.25,86,73,4.29
Vaini,IN,15.34,74.49,1570555769,76.01,88,31,1.83
Yerbogachen,RU,61.28,108.01,1570555769,15.71,89,27,8.32
Denpasar,ID,-8.65,115.22,1570555770,77.0,88,20,2.24
Sobolevo,RU,54.43,31.9,1570555771,38.21,93,100,12.17
Codrington,AU,-28.95,153.24,1570555771,64.4,77,90,6.93
Fairhope,US,30.52,-87.9,1570555772,86.0,62,1,6.93
Te Anau,NZ,-45.41,167.72,1570555772,46.13,97,100,2.26
Saint-Joseph,FR,43.56,6.97,1570555773,69.8,52,0,4.7
Narsaq,GL,60.91,-46.05,1570555773,41.0,97,75,4.7
Nalut,LY,31.86,10.98,1570555774,62.33,87,89,13.35
Iquique,CL,-20.22,-70.14,1570555775,62.6,67,20,11.41
Ust-Tsilma,RU,65.44,52.15,1570555776,32.99,88,44,9.06
Sorland,NO,67.67,12.69,1570555777,44.6,60,40,17.22
Carnarvon,ZA,-30.97,22.13,1570555553,68.27,17,0,11.92
Fayetteville,US,36.06,-94.16,1570555778,69.01,49,1,4.7
Kaoma,ZM,-14.8,24.8,1570555778,72.59,57,44,5.61
Torbay,CA,47.66,-52.73,1570555779,62.6,82,90,28.86
Pevek,RU,69.7,170.27,1570555779,31.37,85,100,17.63
Esperance,AU,-33.86,121.89,1570555780,55.4,66,99,14.99
Mayya,RU,61.74,130.28,1570555781,28.4,92,40,6.71
Lubango,AO,-14.92,13.49,1570555781,78.8,36,20,9.17
East London,ZA,-33.02,27.91,1570555510,66.2,72,13,9.17
Namibe,AO,-15.19,12.15,1570555558,73.4,69,90,13.87
Iqaluit,CA,63.75,-68.52,1570555540,42.8,81,75,5.82
Port Macquarie,AU,-31.43,152.91,1570555783,55.4,47,40,6.93
Leningradskiy,RU,69.38,178.42,1570555783,33.89,97,100,29.28
Usinsk,RU,66.0,57.56,1570555784,38.03,83,79,15.77
Sechura,PE,-5.56,-80.82,1570555784,60.53,94,72,17.13
Sao Filipe,CV,14.9,-24.5,1570555785,77.09,78,2,12.73
Souillac,FR,45.6,-0.6,1570555531,63.0,87,90,8.05
Hofn,IS,64.25,-15.21,1570555786,37.31,97,100,12.1
Santa Rosa,AR,-36.62,-64.29,1570555665,75.47,14,0,7.85
Erenhot,CN,43.65,111.97,1570555787,49.55,41,0,11.54
Nemuro,JP,43.32,145.57,1570555551,56.21,69,58,32.96
Talnakh,RU,69.49,88.39,1570555788,19.4,92,2,6.71
The Valley,AI,18.22,-63.06,1570555789,91.0,62,40,14.99
Mahebourg,MU,-20.41,57.7,1570555789,73.4,69,40,14.99
Evensk,RU,61.92,159.24,1570555790,18.95,49,0,8.64
Kalmunai,LK,7.42,81.82,1570555791,82.85,75,13,8.76
Marsh Harbour,BS,26.54,-77.06,1570555791,81.05,76,100,9.82
Aksu,KZ,52.04,76.93,1570555792,48.2,70,0,8.95
Khani,GE,41.96,42.96,1570555792,68.0,72,75,12.75
Guerrero Negro,MX,27.97,-114.04,1570555793,70.25,78,0,9.71
Tuatapere,NZ,-46.13,167.69,1570555794,50.0,97,100,1.01
Faanui,PF,-16.48,-151.75,1570555697,77.63,83,80,21.56
Lagos,NG,6.46,3.39,1570555795,78.8,94,40,2.24
Nizhneangarsk,RU,55.78,109.57,1570555795,16.97,90,67,6.51
Lata,IN,30.78,78.62,1570555671,29.21,88,2,2.26
Mto wa Mbu,TZ,-3.38,35.86,1570555796,72.59,51,0,14.34
Moose Factory,CA,51.26,-80.61,1570555797,53.6,62,1,16.11
Utiel,ES,39.57,-1.21,1570555797,78.8,61,0,9.17
Pimenta Bueno,BR,-11.68,-61.19,1570555798,89.51,48,76,4.79
Cervo,BR,-22.19,-46.24,1570555798,69.8,83,90,6.77
Saint-Pierre,FR,48.95,4.24,1570555799,57.99,100,100,13.87
Victoria,BN,5.28,115.24,1570555800,77.0,94,75,3.36
Constantine,DZ,36.36,6.61,1570555800,62.6,72,40,10.29
Tuktoyaktuk,CA,69.44,-133.03,1570555592,26.6,86,20,12.75
Manaus,BR,-3.13,-59.98,1570555801,87.8,66,40,4.7
Jiuquan,CN,39.73,98.49,1570555806,50.63,52,100,4.53
Hilo,US,19.71,-155.08,1570555548,75.2,83,90,4.7
Eirunepe,BR,-6.66,-69.87,1570555807,94.55,38,13,3.76
Haapiti,PF,-17.57,-149.87,1570555808,77.0,78,75,3.36
Tazovskiy,RU,67.47,78.7,1570555809,33.53,82,100,7.29
Sao Sepe,BR,-30.16,-53.57,1570555810,78.8,44,20,4.7
Ornskoldsvik,SE,63.29,18.72,1570555810,39.2,86,75,3.36
Saint-Philippe,CA,45.36,-73.48,1570555546,62.6,51,1,6.93
Melfort,CA,52.87,-104.61,1570555812,37.4,69,90,20.8
Wasco,US,35.59,-119.34,1570555812,79.0,35,17,3.36
Saldanha,PT,41.42,-6.55,1570555813,70.97,57,67,6.44
Sovetskaya Gavan,RU,48.97,140.29,1570555813,50.81,92,100,29.75
Tongling,CN,30.93,117.81,1570555814,56.39,86,51,3.96
Kodiak,US,39.95,-94.76,1570555815,69.01,42,1,14.99
Tiksi,RU,71.64,128.87,1570555815,23.63,83,100,16.78
Graham,US,33.11,-98.59,1570555819,77.0,46,1,10.29
Pingxiang,CN,27.63,113.85,1570555819,62.15,90,14,1.12
Geraldton,CA,49.72,-86.95,1570555662,60.8,51,20,13.87
Zhob,PK,31.34,69.45,1570555820,60.53,34,0,1.32
Shimoda,JP,34.7,138.93,1570555821,69.8,60,20,6.93
Tarakan,ID,3.3,117.63,1570555821,80.15,77,100,3.15
Jiaozhou,CN,36.26,120.03,1570555822,51.8,71,35,4.47
Temerloh,MY,3.45,102.42,1570555823,73.31,96,47,0.67
Namie,JP,37.52,140.86,1570555823,64.99,62,60,5.01
Clyde River,CA,70.47,-68.59,1570555824,26.6,92,20,2.24
Richards Bay,ZA,-28.77,32.06,1570555824,69.89,83,1,5.38
Kyaikto,MM,17.31,97.01,1570555825,73.31,93,42,0.0
Progreso,UY,-34.68,-56.22,1570555825,73.4,21,0,12.75
Mackay,CA,53.65,-115.58,1570555826,26.6,58,90,13.87
Borovoy,RU,63.23,52.89,1570555827,32.81,78,94,11.72
San Quintin,PH,17.54,120.52,1570555827,71.87,85,0,5.31
Gat,SN,14.69,-16.54,1570555828,89.6,62,97,12.11
Port Hardy,CA,50.7,-127.42,1570555829,44.6,87,40,11.41
Severo-Kurilsk,RU,50.68,156.12,1570555522,45.77,88,46,25.32
Alihe,CN,50.57,123.73,1570555830,40.73,88,70,4.04
Balabac,PH,7.99,117.06,1570555833,81.23,74,94,1.8
Talaja,IN,21.35,72.04,1570555834,82.67,70,27,1.34
Luba,PH,17.32,120.7,1570555835,71.87,85,0,5.32
Husavik,CA,50.56,-96.99,1570555552,62.01,49,6,10.0
Novorzhev,RU,57.03,29.33,1570555836,38.03,96,100,8.6
Kinablangan,PH,7.69,126.55,1570555836,72.41,88,82,4.7
Keetmanshoop,NA,-26.57,18.15,1570555837,84.2,9,0,8.05
Zabid,YE,14.2,44.5,1570555838,67.73,76,91,3.65
Praia,BR,-20.25,-43.81,1570555839,86.0,35,89,10.29
Hamilton,CA,43.26,-79.87,1570555839,64.99,67,20,12.75
Opportunity,US,46.11,-112.83,1570555843,64.99,28,90,9.17
Seoul,KR,37.57,126.98,1570555707,50.0,100,1,2.24
Fuerte Olimpo,BR,-21.04,-57.87,1570555844,94.37,30,78,4.97
Vila Franca do Campo,PT,37.72,-25.43,1570555845,71.01,60,40,17.22
Lumphat,KH,13.5,106.97,1570555846,70.97,87,59,4.03
Ilulissat,GL,69.22,-51.1,1570555847,32.0,46,5,2.24
Takoradi,GH,4.89,-1.75,1570555847,76.01,87,100,4.72
Pacific Grove,US,36.62,-121.92,1570555851,73.0,46,1,3.36
Willowmore,ZA,-33.3,23.49,1570555852,61.07,74,0,6.98
Oriximina,BR,-1.77,-55.87,1570555852,92.21,47,80,4.03
Manzanillo,MX,19.05,-104.32,1570555853,87.8,79,75,6.93
Mayo,CA,63.59,-135.9,1570555854,17.6,78,90,2.24
Oussouye,SN,12.49,-16.54,1570555854,86.0,79,40,4.7
Vardo,US,39.62,-77.74,1570555774,64.99,48,20,12.75
Chuy,UY,-33.69,-53.46,1570555855,67.37,52,0,4.12
Cherskiy,RU,68.75,161.3,1570555856,20.75,95,93,9.84
Vostok,RU,46.45,135.83,1570555856,43.07,98,100,9.24
Elko,US,40.83,-115.76,1570555857,64.0,37,1,4.7
Haines Junction,CA,60.75,-137.51,1570555857,16.43,69,90,2.55
Singaraja,ID,-8.11,115.08,1570555858,80.15,64,32,8.21
San Patricio,PY,-26.98,-56.83,1570555859,83.57,38,0,5.23
Leshukonskoye,RU,64.9,45.76,1570555859,33.17,96,96,12.21
Entre Rios,BR,-11.94,-38.08,1570555860,82.85,54,58,9.63
Arles,FR,43.68,4.63,1570555864,69.8,52,0,5.82
San Cristobal,HN,14.68,-86.92,1570555865,81.23,60,94,6.33
Kholtoson,RU,50.3,103.31,1570555865,35.51,74,0,2.92
Sonda,BR,-22.13,-45.05,1570555866,82.0,64,98,3.42
Keskin,TR,39.67,33.62,1570555869,61.0,70,93,5.6
Praia da Vitoria,PT,38.73,-27.07,1570555870,71.6,56,40,11.23
Biak,ID,-0.91,122.88,1570555871,58.55,71,51,3.42
Dharchula,IN,29.85,80.53,1570555872,43.25,81,0,3.91
Marawi,PH,8.0,124.29,1570555872,75.0,91,44,5.99
Daryapur,IN,20.92,77.32,1570555873,74.39,76,3,5.95
Rome,IT,41.89,12.48,1570555654,73.4,60,0,2.24
Ayan,IR,38.23,44.7,1570555874,54.95,40,71,5.84
Ambilobe,MG,-13.19,49.05,1570555875,77.27,61,67,15.9
Hasaki,JP,35.73,140.83,1570555875,68.0,100,75,5.82
Waddan,LY,29.16,16.14,1570555876,73.67,41,100,6.73
Ibra,OM,22.69,58.55,1570555876,77.81,50,0,1.99
Upornaya,RU,44.39,41.02,1570555877,51.89,89,100,13.34
Kenora,CA,49.76,-94.48,1570555878,57.2,62,20,16.11
Ulagan,RU,50.63,87.96,1570555878,34.25,45,0,1.42
Kilcormac,IE,53.18,-7.73,1570555879,54.0,79,61,5.99
Rapid Valley,US,44.06,-103.15,1570555879,73.0,32,1,3.36
Amnat Charoen,TH,15.86,104.63,1570555880,78.01,83,42,7.25
Ardahan,TR,41.11,42.7,1570555881,49.19,50,48,8.51
Zirandaro,MX,18.45,-100.98,1570555881,89.15,54,75,0.67
Caravelas,BR,-17.73,-39.27,1570555882,80.69,68,40,13.11
Ures,MX,30.73,-112.95,1570555882,90.0,46,0,1.99
Bejar,AL,40.49,19.83,1570555883,66.83,61,41,3.67
Atar,MR,20.52,-13.05,1570555883,100.13,6,49,16.51
Flinders,AU,-34.58,150.85,1570555704,52.0,75,40,9.17
Kati,ML,12.75,-8.07,1570555884,89.6,59,40,8.05
Manacapuru,BR,-3.3,-60.62,1570555885,86.0,62,75,6.93
Isangel,VU,-19.55,169.27,1570555885,74.57,77,98,14.23
Rio Cuarto,AR,-33.13,-64.35,1570555886,78.8,24,10,20.8
Beroroha,MG,-21.68,45.17,1570555886,76.91,56,52,2.55
Ribeira Grande,PT,38.52,-28.7,1570555606,69.8,56,20,16.11
Yong Peng,MY,2.01,103.07,1570555887,74.39,95,15,1.41
Porto Novo,BR,-23.68,-45.44,1570555888,68.0,82,75,4.7
Songjianghe,CN,42.18,127.48,1570555888,35.15,58,0,5.03
Atambua,ID,-9.11,124.89,1570555889,68.27,75,0,3.81
Pastavy,BY,55.11,26.84,1570555890,38.93,86,100,8.14
Mitsamiouli,KM,-11.38,43.28,1570555890,82.4,58,75,4.7
Palimbang,PH,14.9,120.78,1570555891,82.4,78,75,6.93
Meulaboh,ID,4.14,96.13,1570555891,79.97,77,100,4.97
Berea,US,37.57,-84.3,1570555892,69.01,72,40,9.17
Bud,NO,62.91,6.91,1570555892,46.4,87,75,10.29
Springbok,ZA,-29.67,17.88,1570555893,59.63,46,0,8.69
Cururupu,BR,-1.82,-44.87,1570555622,87.89,53,96,7.81
Kalangala,UG,-0.32,32.29,1570555894,73.4,73,75,5.82
Teguise,ES,29.06,-13.56,1570555894,78.8,65,20,14.99
Ulsteinvik,NO,62.35,5.85,1570555895,48.99,87,75,16.11
Victoria,BN,5.28,115.24,1570555895,77.0,94,75,3.36
Aberdeen,US,46.98,-123.82,1570555896,53.01,87,75,5.82
Necochea,AR,-38.55,-58.74,1570555505,57.99,65,39,10.0
Bouna,CI,9.27,-3.0,1570555897,72.77,96,100,4.68
Kiunga,PG,-6.12,141.3,1570555898,72.77,99,100,2.04
Floro,NO,61.6,5.03,1570555898,48.99,81,75,16.11
Kella,DE,51.23,10.08,1570555899,55.4,93,75,4.7
Isla Mujeres,MX,21.23,-86.73,1570555900,80.6,100,75,5.82
Bandarbeyla,SO,9.49,50.81,1570555900,77.45,77,0,8.63
Mehamn,NO,71.03,27.85,1570555532,39.2,80,75,16.11
Tiznit,MA,29.7,-9.73,1570555901,76.19,38,0,7.16
Armidale,AU,-30.51,151.67,1570555902,37.0,53,0,1.01
Pitimbu,BR,-7.47,-34.81,1570555903,84.2,62,75,14.99
Mkushi,ZM,-13.61,29.4,1570555903,76.55,30,65,7.77
Kazanka,UA,47.83,32.83,1570555904,39.2,60,0,2.24
Madang,CN,35.32,102.79,1570555905,38.75,93,99,3.4
Kaeo,NZ,-35.1,173.78,1570555640,48.99,100,0,4.7
Hirado,JP,33.32,129.49,1570555906,69.8,52,0,5.82
Itinga,BR,-16.61,-41.77,1570555906,87.17,35,10,7.59
Tahe,CN,52.34,124.71,1570555907,35.51,93,83,1.81
Magsaysay,PH,6.76,125.15,1570555907,77.0,94,75,4.7
Sisimiut,GL,66.94,-53.67,1570555908,38.39,53,64,4.03
Saint George,GR,39.45,22.34,1570555909,60.8,100,90,5.82
Yumen,CN,40.29,97.04,1570555909,52.79,37,94,6.27
Klaeng,TH,12.78,101.65,1570555910,82.0,84,68,1.31
Bilibino,RU,68.06,166.44,1570555910,11.57,96,100,2.77
Sakti,ID,-3.09,120.21,1570555911,63.59,94,41,1.58
Houma,CN,35.63,111.36,1570555911,56.39,81,96,6.96
Alofi,NU,-19.06,-169.92,1570555912,73.4,78,100,5.82
Tornio,FI,61.12,27.27,1570555912,36.0,93,0,3.36
Nabire,ID,-3.36,135.5,1570555913,72.59,98,100,2.31
Gigmoto,PH,13.78,124.39,1570555913,80.69,85,100,23.22
Steamboat Springs,US,40.48,-106.83,1570555914,60.8,24,1,8.1
Aklavik,CA,68.22,-135.01,1570555915,26.6,79,75,2.0
Carutapera,BR,-1.2,-46.02,1570555915,85.37,62,88,11.86
Khash,IR,28.22,61.21,1570555916,78.17,25,86,5.59
Ati,TD,13.21,18.34,1570555916,86.81,53,39,3.54
Tabou,CI,4.42,-7.36,1570555649,76.37,82,84,6.49
Launceston,AU,-41.43,147.14,1570555905,39.0,74,7,3.36
Thinadhoo,MV,0.53,72.93,1570555918,81.59,75,0,9.33
Opuwo,NA,-18.06,13.84,1570555918,71.87,28,1,9.66
Williamsport,US,41.25,-77.0,1570555919,64.99,39,1,10.29
Tilichiki,RU,60.47,166.1,1570555919,24.17,66,0,4.29
Solnechnyy,RU,50.72,136.64,1570555920,42.53,90,89,4.27
Camacha,PT,33.08,-16.33,1570555920,77.0,69,40,17.22
Choa Saidan Shah,PK,32.72,72.98,1570555921,77.81,32,0,2.91
Rassvet,RU,49.11,45.47,1570555921,53.69,58,97,15.21
Deputatskiy,RU,69.3,139.9,1570555922,1.67,99,100,2.68
Kotaparh,IN,19.15,82.35,1570555923,70.43,97,100,5.97
Guayaquil,EC,-2.18,-79.88,1570555923,78.8,65,75,3.36
Dolny Kubin,SK,49.21,19.3,1570555924,51.8,57,90,6.93
Vanavara,RU,60.35,102.28,1570555924,22.19,71,0,5.86
Bubaque,GW,11.28,-15.83,1570555661,81.59,76,98,13.09
Saint-Augustin,CA,45.63,-73.98,1570555925,63.0,44,20,6.93
Cabo Rojo,PR,18.09,-67.15,1570555926,91.0,66,1,20.8
Mayskiy,RU,43.63,44.06,1570555926,50.0,87,75,0.22
Katiola,CI,8.14,-5.1,1570555927,80.6,78,75,4.7
Batsfjord,NO,70.63,29.72,1570555928,39.2,75,75,14.99
Ostrovnoy,RU,68.05,39.51,1570555928,37.31,96,100,15.79
Grafing,DE,48.05,11.97,1570555929,60.01,77,0,4.7
Toamasina,MG,-18.17,49.38,1570555929,73.4,78,75,5.82
Severo-Yeniseyskiy,RU,60.37,93.04,1570555930,26.15,97,65,2.91
Omboue,GA,-1.57,9.26,1570555931,76.01,91,83,3.91
Suntar,RU,62.16,117.65,1570555527,17.87,90,99,4.27
Quatre Cocos,MU,-20.21,57.76,1570555931,73.4,69,40,14.99
Pangnirtung,CA,66.15,-65.72,1570555932,37.4,85,40,5.82
Cayenne,GF,4.94,-52.33,1570555933,80.6,88,4,4.7
Marsa Matruh,EG,31.35,27.25,1570555933,78.8,57,0,11.41
Chicama,PE,-7.84,-79.15,1570555934,62.6,82,90,11.41
Manturovo,RU,58.33,44.76,1570555934,32.45,84,92,9.28
Vanimo,PG,-2.67,141.3,1570555935,83.03,75,82,7.6
Lufkin,US,31.34,-94.73,1570555935,73.99,60,1,6.93
Aguimes,ES,27.91,-15.45,1570555936,77.0,65,20,21.92
Bayburt,TR,40.26,40.22,1570555937,49.55,60,87,6.55
Ojinaga,US,29.56,-104.41,1570555937,78.01,47,1,9.17
Karratha,AU,-20.74,116.85,1570555938,79.07,56,0,8.75
Querecotillo,PE,-4.84,-80.65,1570555938,89.15,34,66,10.43
Rabo de Peixe,PT,37.8,-25.58,1570555939,71.01,60,40,17.22
Berlevag,NO,70.86,29.09,1570555941,39.2,80,75,16.11
Gladstone,AU,-23.84,151.26,1570555941,68.0,88,9,5.82
Dingle,PH,11.0,122.67,1570555942,73.85,87,68,3.64
Iralaya,HN,15.0,-83.23,1570555942,87.8,74,75,6.93
Yarovoye,RU,52.92,78.56,1570555943,53.69,61,0,6.5
Qiongshan,CN,20.01,110.35,1570555943,77.0,94,0,2.24
Makakilo City,US,21.35,-158.09,1570555944,78.01,73,75,2.94
Ponta do Sol,BR,-20.63,-46.0,1570555537,72.77,76,100,2.98
College,US,64.86,-147.8,1570555945,32.0,100,90,4.7
